id,asset_number,name,stock_type,location,quantity_held,quantity_booked,quantity_available,quantity_counted
45780,600812,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45771,607813,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45772,607814,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45773,607815,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45774,608278,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45775,900000,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45776,900001,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45777,900002,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45778,900003,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
45779,900004,ASU32A63A3P,Rental,"",1.0,0.0,1.0,1.0
44268,607812,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44273,610451,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44274,610452,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44276,610453,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44278,610454,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44279,610455,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44282,610456,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44285,610457,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44288,610458,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44289,610459,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44292,610460,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
44269,900007,ASU63A125A3P,Rental,"",1.0,0.0,1.0,1.0
46402,050032,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49425,050033,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
46403,050034,CF016A1P005m,Rental,"",1.0,0.0,1.0,0
49427,100001,CF016A1P005m,Rental,"",1.0,0.0,1.0,1.0
